No.,Unit,Daya (kW),,,Beban Puncak (kW),,Ratio,"Produksi Bruto
(kWh)","Produksi Netto
(kWh)",Pemakaian Sendiri,,,,Jam Indikator,,,,,Trip Non OMC,,Derating,,,,Kinerja Pembangkit,,,,Capabillity Factor (%),Nett Operating Factor (%),JSI,Pemakaian Bahar Bakar/ Baku,,,,,,,,,Pemakaian Pelumas,,,,,,,EFFISIENSI,,,Ket.,,,"PT PLN NUSANTARA POWER
SUMMARY HARIAN
PLTD WUAWUA",,,,,,,,,,
,, Daya Terpasang,Daya Mampu SILM ,Daya Mampu Pasok,Siang,Malam,Daya,,,"Aux
(kWh)","Susut Trafo
(kWh)",Persentase,Jam Periode,OPR,HAR,,GGN,"STAND 
BY",MESIN,LISTRIK,EFDH,EPDH,EUDH,ESDH,EAF,SOF,EFOR,SdOF (Kali),NCF,,,HSD,B 10,B 15,B 20,B 25,B 35,MFO,TOTAL BBM,AIR,Meditran SX 15W/40 CH-4,Salyx 420,Salyx 430,TravoLube A,Turbolube 46,Turbolube 68,TOTAL,SFC/ SCC,TARA KALOR/ NPHR,SLC,,,,,,,,,,,,,,
,,,,,,,KIT,,,,,,,,PO,MO,FO,,(KALI),(KALI),,,,,,,,,,,,(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(M3),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER/KWH),(KCAL/KWH),(CC/KWH),,,,BULAN,,: Juli 2024,,,,,,,,
 I , PLTD WUA-WUA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit,Jam Operasi,Pemakaian BBM (Liter),NCF (%),EAF (%),SOF (%),EFOR (%),SFC (Liter/kWh),SLC (ml/kWh),PSST (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00%,0.00%,0.00%,0.00,0.00,0.00%
 TOTAL PLTD ,,"20,932.000","7,700.000","7,700.000",375.325,375.325,0.221,"713,000.000","651,000.000","31,000.000","31,000.000",8.70%,744.000,136.883,0.000,0.000,0.000,607.117,0.000,0.000,0.000,0.000,0.000,0.000,3100.00%,0.00%,0.00%,0.00,352.27%,61.76%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,, TOTAL ,,136.883,0.00,3.52,3100.00%,0.00%,0.00%,0.00,0.00,8.70%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK BAHAN BAKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Lokasi,Stock Awal (Liter),Penerimaan  (Liter),Pemakaian (Liter),Stock Akhir (Liter),Stock Mati (Liter),Pakai Rata2 / Hari (Liter),HOP (Hari),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1 , PLTD WUA-WUA (B35) , -   , -   , -   , -   ,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2 , PLTD WUA-WUA (MFO) , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK PELUMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Lokasi,Jenis ,Stock Awal (Liter),Penerimaan  (Liter),Pemakaian (Liter),TUG 8 (Liter),Stock Akhir (Liter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1 , PLTD WUAWUA , Meditran SX 15W/40 CH-4 ,,, -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Salyx 420 ,,, -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Salyx 430 ,,, -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, TravoLube A ,,, -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Turbolube 46 ,,, -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Turbolube 68 ,,, -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TOTAL ,,, -   , -   , -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
